STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/1/1950,0.13,0,0,,50,44,1,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/2/1950,0.45,0,0,,55,48,1,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/3/1950,0.59,0,0,,63,54,1,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/4/1950,0.65,0,0,,62,27,1,,,1,,1,,,,,,,,,1,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/5/1950,0.63,0.9,1,,32,26,1,,,1,,1,,,,,,,,,1,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/6/1950,1.4,0,0,,35,30,1,,,,,1,,,,,,,,,1,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/7/1950,0,0,0,,36,24,,,,,,,,1,,,,,,,,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/8/1950,0,0,0,,40,19,,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/9/1950,0.05,0,0,,53,34,,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/10/1950,0.65,0,0,,58,31,1,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/11/1950,0,0,0,,37,23,,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/12/1950,0.26,0,0,,54,33,1,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/13/1950,0.75,0,0,,64,54,1,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/14/1950,0,0,0,,57,32,,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/15/1950,0.87,0,0,,65,32,1,,1,1,,1,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/16/1950,0,0,0,,38,26,,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/17/1950,0.02,0,0,,50,26,1,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/18/1950,0.01,0,0,,51,23,1,,,1,,1,,,,,,,,,1,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/19/1950,0,0,0,,29,19,,,,,,,,,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/20/1950,0,0,0,,35,17,,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/21/1950,0,0,0,,49,25,,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/22/1950,0.01,0,0,,50,44,1,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/23/1950,0.24,0,0,,59,49,1,,,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/24/1950,0.39,0,0,,67,55,1,,1,,,,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/25/1950,0,0,0,,74,57,,,,,,,,,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/26/1950,1.41,0,0,,69,30,,,,,,,,,,,,,,,1,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/27/1950,0,0,0,,36,22,,,,,,,,1,,,,,,,,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/28/1950,0,0,0,,54,24,1,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/29/1950,0.52,0,0,,64,31,1,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/30/1950,0.34,1,0,,31,25,1,,,1,,1,,,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",1/31/1950,0.06,0,0,,32,30,1,,,,,1,,1,,,,,,,1,,1,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/1/1950,0.31,0,0,,34,31,1,,,,,1,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/2/1950,0.06,0,0,,35,23,1,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/3/1950,0,0,0,,34,17,,,,,,,,,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/4/1950,0,0,0,,46,24,,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/5/1950,0,0,0,,52,29,,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/6/1950,0,0,0,,54,45,,,,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/7/1950,0,0,0,,46,33,,,,,,,,1,,,,,,,,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/8/1950,2.06,0,0,,53,29,1,,1,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/9/1950,0.26,0,0,,54,37,,,1,,,,,1,,,,,,,1,,,,,,
USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2/10/1950,0,0,0,,45,35,,,,,,,,1,,,,,,,,,,,,,
